Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2079135.1,TAV2_LOCUS23270,iq_5,"IQ motif, EF-hand binding site",GO:0005515,AT4G14750,"IQ-domain	19	","827130	"
CAH2079141.1,TAV2_LOCUS25559,Inhibitor of apoptosis-promoting Bax1,Bax inhibitor 1-related,-,AT4G14730,"Bax	inhibitor-1	family	protein	","827126	"
CAH2079150.1,TAV2_LOCUS24236,consensus disorder prediction,-,0,AT4G14650,"uncharacterized	protein	","827115	"
CAH2079151.1,TAV2_LOCUS24241,efh_1,EF-hand domain,GO:0005509,AT4G14640,"calmodulin	8	","827114	"
CAH2079159.1,TAV2_LOCUS24821,mTERF,"Transcription termination factor, mitochondrial/chloroplastic",GO:0003690|GO:0006355,AT4G14605,"Mitochondrial	transcription	termination	factor	family	protein	","827109	"
CAH2079168.1,TAV2_LOCUS25171,E3 UBIQUITIN PROTEIN LIGASE DRIP1,E3 ubiquitin protein ligase DRIP1-like,GO:0004842,AT1G35183,"zinc	""finger,""	C3HC4	type	(RING	finger)	protein	","28717305	"
CAH2079172.1,TAV2_LOCUS24027,"DNA-DIRECTED RNA POLYMERASE II, III",RNA polymerase subunit Rpb7-like,GO:0006352,AT4G14520,"DNA-directed	RNA	polymerase	II-like	protein	","827099	"
CAH2079175.1,TAV2_LOCUS23844,9598neu4hmm,FBD domain,-,AT3G50710,"F-box/RNI-like/FBD-like	domains-containing	protein	","824235	"
CAH2079186.1,TAV2_LOCUS25850,HR-like lesion-inducing,HR-like lesion-inducer,-,AT4G14420,"HR-like	lesion-inducing	protein-like	protein	","827087	"
CAH2079187.1,TAV2_LOCUS25848,"HLH, helix-loop-helix DNA-binding domain",Helix-loop-helix DNA-binding domain superfamily,GO:0046983,AT4G14410,"basic	helix-loop-helix	(bHLH)	DNA-binding	superfamily	protein	","827086	"
CAH2079188.1,TAV2_LOCUS25849,Histone acetyltransferase subunit NuA4,Chromatin modification-related protein Eaf6,GO:0000123|GO:0016573,AT4G14385,"histone	acetyltransferase	subunit	NuA4-domain	protein	","827083	"
CAH2079200.1,TAV2_LOCUS24519,KINESIN-RELATED,Kinesin-like protein,GO:0003777|GO:0007018,AT4G14330,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","827075	"
CAH2079202.1,TAV2_LOCUS24521,Mpv17 / PMP22 family,Mpv17/PMP22,GO:0016021,AT4G14310,"Transducin/WD40	repeat-like	superfamily	protein	","827072	"
CAH2079207.1,TAV2_LOCUS24865,-,Armadillo-like helical,-,AT4G14280,"ARM	repeat	superfamily	protein	","827069	"
CAH2079210.1,TAV2_LOCUS24868,HUPs,Rossmann-like alpha/beta/alpha sandwich fold,-,AT4G13450,"Adenine	nucleotide	alpha	hydrolases-like	superfamily	protein	","826977	"
CAH2079213.1,TAV2_LOCUS24872,IPMI,"3-Isopropylmalate dehydratase, catalytic domain",GO:0003861,AT4G13430,"isopropyl	malate	isomerase	large	subunit	1	","826975	"
CAH2079214.1,TAV2_LOCUS23481,K+ potassium transporter,Potassium transporter,GO:0015079|GO:0016020|GO:0071805,AT4G13420,"high	affinity	K+	transporter	5	","826973	"
CAH2079220.1,TAV2_LOCUS23487,Vaccinia Virus protein VP39,S-adenosyl-L-methionine-dependent methyltransferase superfamily,-,AT4G14000,"Putative	methyltransferase	family	protein	","827036	"
CAH2079240.1,TAV2_LOCUS24453,ARP2/3 complex 20 kDa subunit (ARPC4),Actin-related protein 2/3 complex subunit 4,GO:0005885|GO:0015629|GO:0030041|GO:0034314,AT4G14147,"binding	protein	","3770404	"
CAH2079256.1,TAV2_LOCUS25294,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT4G14190,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","827059	"
CAH2079263.1,TAV2_LOCUS25286,consensus disorder prediction,-,0,AT4G14200,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","827060	"
CAH2079265.1,TAV2_LOCUS23959,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT4G14220,"RING-H2	group	F1A	","827062	"
CAH2079266.1,TAV2_LOCUS23960,rRNA small subunit methyltransferase G,rRNA small subunit methyltransferase G,GO:0005737|GO:0006364|GO:0008649,AT5G50110,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","835075	"
CAH2079275.1,TAV2_LOCUS22568,Heat shock factor (HSF) domain signature,"Heat shock factor (HSF)-type, DNA-binding",GO:0003700|GO:0006355|GO:0043565,AT4G13980,"winged-helix	DNA-binding	transcription	factor	family	protein	","827033	"
CAH2079283.1,TAV2_LOCUS24977,OS05G0344200 PROTEIN,PAM2-containing protein CID1/CID2,-,AT4G14270,"polyadenylate-binding	protein	interacting	protein	","827068	"
CAH2079285.1,TAV2_LOCUS24976,DC12-RELATED,SOS response associated peptidase (SRAP),GO:0003697|GO:0006974|GO:0018142,AT2G26470,"embryonic	stem	cell-specific	5-hydroxymethylcytosine-binding	protein	","817188	"
CAH2079299.1,TAV2_LOCUS23602,-,Chloramphenicol acetyltransferase-like domain superfamily,-,AT4G13840,"HXXXD-type	acyl-transferase	family	protein	","827018	"
CAH2079301.1,TAV2_LOCUS25675,DnaJ domain,DnaJ domain,-,AT4G13830,"DNAJ-like	20	","827017	"
CAH2079313.1,TAV2_LOCUS25165,CXC_2,Tesmin/TSO1-like CXC domain,-,AT5G33300,"chromosome-associated	kinesin-like	protein	","833303	"
CAH2079320.1,TAV2_LOCUS23622,"BETA-1,3 GLUCANASE","Carbohydrate-binding X8 domain-containing protein, plant",-,AT4G13600,"Carbohydrate-binding	X8	domain	superfamily	protein	","826993	"
CAH2079323.1,TAV2_LOCUS25040,TRANSMEMBRANE PROTEIN HTP-1 RELATED,Gdt1 family,-,AT4G13590,"Uncharacterized	protein	family	(UPF0016)	","826992	"
CAH2079326.1,TAV2_LOCUS25920,Helicase associated domain (HA2),Helicase-associated domain,GO:0004386,AT1G33390,"RNA	helicase	family	protein	","840232	"
CAH2079328.1,TAV2_LOCUS25919,Late embryogenesis abundant protein,"Late embryogenesis abundant protein, LEA_2 subgroup",-,AT4G13270,"Late	embryogenesis	abundant	(LEA)	hydroxyproline-rich	glycoprotein	family	","826957	"
CAH2079331.1,TAV2_LOCUS25924,INNER MEMBRANE PROTEIN DEDA-RELATED,DedA family,-,AT4G13150,"uncharacterized	protein	","826929	"
CAH2079338.1,TAV2_LOCUS24595,BNACNNG14650D PROTEIN,Plastoglobular protein 18-like,GO:0010027,AT4G13200,"uncharacterized	protein	","826935	"
CAH2079346.1,TAV2_LOCUS23200,LATE EMBRYOGENESIS ABUNDANT PROTEIN (LEA) FAMILY PROTEIN,Stress-induced protein KIN1/KIN2,-,AT4G13560,"Late	embryogenesis	abundant	protein	(LEA)	family	protein	","826989	"
CAH2079349.1,TAV2_LOCUS23137,consensus disorder prediction,-,0,AT4G13540,"golgin	family	A	protein	","826986	"
CAH2079350.1,TAV2_LOCUS23136,GB|AAF00631.1,Transmembrane protein At4g13530-like,-,AT4G13530,"uncharacterized	protein	","826985	"
CAH2079351.1,TAV2_LOCUS23139,Glucose/ribitol dehydrogenase family signature,Short-chain dehydrogenase/reductase SDR,-,AT4G13250,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","826942	"
CAH2079354.1,TAV2_LOCUS22633,FMO,Flavin monooxygenase FMO,GO:0050660|GO:0050661,AT4G13260,"Flavin-binding	monooxygenase	family	protein	","826956	"
CAH2079360.1,TAV2_LOCUS25432,CRS1_YhbY_2,"RNA-binding, CRM domain",GO:0003723,AT4G13070,"RNA-binding	CRS1	/	YhbY	(CRM)	domain	protein	","826921	"
CAH2079361.1,TAV2_LOCUS25433,rav1_2,AP2/ERF domain,GO:0003700|GO:0006355,AT4G13040,"Integrase-type	DNA-binding	superfamily	protein	","826918	"
CAH2079363.1,TAV2_LOCUS25439,HAD-like,HAD-like superfamily,-,AT5G32470,"heme	""oxygenase-like,""	multi-helical	","833206	"
CAH2079364.1,TAV2_LOCUS25436,"Photosystem I PsaL, reaction centre subunit XI","Photosystem I PsaL, reaction centre subunit XI superfamily",GO:0009522|GO:0009538|GO:0015979,AT4G12800,"photosystem	I	subunit	l	","826892	"
CAH2079366.1,TAV2_LOCUS25437,HOMEOBOX-DDT DOMAIN PROTEIN RLT2,Homeobox-DDT domain protein RLT1/2/3,GO:0006357,AT4G12750,"Homeodomain-like	transcriptional	regulator	","826887	"
CAH2079373.1,TAV2_LOCUS24111,EPIDERMAL PATTERNING FACTOR-LIKE PROTEIN 9,Stomagen,GO:2000123,AT4G12970,"stomagen	","826909	"
CAH2079377.1,TAV2_LOCUS24108,"YLMG HOMOLOG PROTEIN 2, CHLOROPLASTIC",CCB3/YggT,GO:0016020,AT4G27990,"YGGT	family	protein	","828912	"
CAH2079382.1,TAV2_LOCUS22715,OS06G0731900 PROTEIN,Protein of unknown function DUF707,-,AT4G12840,"GTPase	Der	(DUF707)	","826896	"
CAH2079390.1,TAV2_LOCUS25373,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G13770,"cytochrome	""P450,""	family	""83,""	subfamily	""A,""	polypeptide	1	","827011	"
CAH2079391.1,TAV2_LOCUS25978,-,Histidine kinase/HSP90-like ATPase superfamily,-,AT4G13750,"Histidine	""kinase-,""	DNA	gyrase	""B-,""	and	HSP90-like	ATPase	family	protein	","827009	"
CAH2079393.1,TAV2_LOCUS25507,Ypt/Rab-GAP domain of gyp1p,Rab-GTPase-TBC domain superfamily,-,AT4G13730,"Ypt/Rab-GAP	domain	of	gyp1p	superfamily	protein	","827007	"
CAH2079398.1,TAV2_LOCUS22520,"TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family",Ham1-like protein,GO:0009143|GO:0047429,AT4G13720,"Inosine	triphosphate	pyrophosphatase	family	protein	","827006	"
CAH2079408.1,TAV2_LOCUS23284,AP2 domain,AP2/ERF domain,GO:0003700|GO:0006355,AT4G13620,"Integrase-type	DNA-binding	superfamily	protein	","826996	"
CAH2079414.1,TAV2_LOCUS24658,consensus disorder prediction,-,0,AT4G13690,"RNA-binding	protein	","827003	"
CAH2079416.1,TAV2_LOCUS24655,SMALL EDRK-RICH FACTOR 1,Small EDRK-rich factor 1/2,-,AT4G13615,"Uncharacterized	protein	family	SERF	","826995	"
CAH2079424.1,TAV2_LOCUS25706,S-adenosyl-L-methionine-dependent methyltransferases,S-adenosyl-L-methionine-dependent methyltransferase superfamily,-,AT4G13330,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","826963	"
CAH2079437.1,TAV2_LOCUS25192,EXPRESSED PROTEIN,"Protein of unknown function DUF936, plant",-,AT4G13370,"serine/arginine	repetitive	matrix	""protein,""	putative	(DUF936)	","826968	"
CAH2079441.1,TAV2_LOCUS25188,ARFGAP/RECO-RELATED,ADP-ribosylation factor GTPase-activating protein AGD14-like,GO:0005096,AT4G13350,"NSP	(nuclear	shuttle	protein)-interacting	GTPase	","826966	"
CAH2079454.1,TAV2_LOCUS23221,Calcineurin-like phosphoesterase,"Calcineurin-like phosphoesterase domain, ApaH type",GO:0016787,AT5G34850,"purple	acid	phosphatase	26	","833406	"
CAH2079464.1,TAV2_LOCUS24781,Myb-like DNA-binding domain,SANT/Myb domain,-,AT5G35550,"Duplicated	homeodomain-like	superfamily	protein	","833520	"
CAH2079465.1,TAV2_LOCUS24780,DENN (AEX-3) domain,cDENN domain,-,AT5G35560,"DENN	(AEX-3)	domain-containing	protein	","833521	"
CAH2079466.1,TAV2_LOCUS25022,GDP-fucose protein O-fucosyltransferase,GDP-fucose protein O-fucosyltransferase,-,AT5G35570,"O-fucosyltransferase	family	protein	","833522	"
CAH2079470.1,TAV2_LOCUS23398,MPP_PhoD,"PhoD-like phosphatase,  metallophosphatase domain",-,AT5G42370,"Calcineurin-like	metallo-phosphoesterase	superfamily	protein	","834243	"
CAH2079471.1,TAV2_LOCUS23399,HISTONE-LYSINE N-METHYLTRANSFERASE SETD1,Histone-lysine N-methyltransferase Set1-like,GO:0042800|GO:0051568,AT5G42400,"SET	domain	protein	25	","834246	"
CAH2079482.1,TAV2_LOCUS22853,Peptidase family M50,Peptidase M50,GO:0004222|GO:0006508,AT5G35220,"Peptidase	M50	family	protein	","833476	"
CAH2079483.1,TAV2_LOCUS22845,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT1G54390,"PHD	finger	protein-like	protein	","841881	"
CAH2079485.1,TAV2_LOCUS22851,CLATHRIN ASSEMBLY PROTEIN,Clathrin coat assembly protein AP180-like,GO:0048268|GO:0072583,AT5G35200,"ENTH/ANTH/VHS	superfamily	protein	","833474	"
CAH2079486.1,TAV2_LOCUS22657,START domain,START domain,GO:0008289,AT5G35180,"ENHANCED	DISEASE	RESISTANCE	protein	(DUF1336)	","833472	"
CAH2079487.1,TAV2_LOCUS24342,Adenylate kinase signature,Adenylate kinase/UMP-CMP kinase,GO:0005524|GO:0006139|GO:0019205,AT5G35170,"adenylate	kinase	family	protein	","833471	"
CAH2079491.1,TAV2_LOCUS22871,PROTEIN MIS12 HOMOLOG,Centromere protein Mis12,GO:0000278|GO:0000775|GO:0005634,AT5G35520,"minichromosome	instability	12	(mis12)-like	protein	","833516	"
CAH2079492.1,TAV2_LOCUS24908,OS01G0585100 PROTEIN,Glycerophosphocholine acyltransferase 1,-,AT5G35460,"uncharacterized	protein	","833509	"
CAH2079495.1,TAV2_LOCUS23305,CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 10,CCR4-NOT transcription complex subunit 10,GO:0030014,AT5G35430,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","833507	"
CAH2079496.1,TAV2_LOCUS23306,Leucine Rich Repeat,Leucine-rich repeat,GO:0005515,AT5G35390,"Leucine-rich	repeat	protein	kinase	family	protein	","833500	"
CAH2079500.1,TAV2_LOCUS23001,Tubulin-tyrosine ligase family,Tubulin-tyrosine ligase/Tubulin polyglutamylase,GO:0036211,AT1G77550,"tubulin-tyrosine	ligase	","844091	"
CAH2079507.1,TAV2_LOCUS25336,"Glutamine synthetase, catalytic domain","Glutamine synthetase, catalytic domain",GO:0004356|GO:0006807,AT5G35630,"glutamine	synthetase	2	","833535	"
CAH2079508.1,TAV2_LOCUS25332,Eukaryotic initiation factor 4E,Translation Initiation factor eIF- 4e,GO:0003723|GO:0003743|GO:0006413,AT5G35620,"Eukaryotic	initiation	factor	4E	protein	","833534	"
CAH2079509.1,TAV2_LOCUS25333,consensus disorder prediction,-,0,AT5G35660,"Glycine-rich	protein	family	","3771291	"
CAH2079510.1,TAV2_LOCUS25334,consensus disorder prediction,-,0,AT5G35670,"IQ-domain	33	","833540	"
CAH2079516.1,TAV2_LOCUS22724,DOMON_CIL1_like,"AIR12, DOMON domain",-,AT5G35735,"Auxin-responsive	family	protein	","833550	"
CAH2079517.1,TAV2_LOCUS22725,Bacterial sensor protein C-terminal signature,"Signal transduction histidine kinase-related protein, C-terminal",GO:0016310|GO:0016772,AT5G35750,"histidine	kinase	2	","833552	"
CAH2079523.1,TAV2_LOCUS22718,35exoneu6,3'-5' exonuclease domain,GO:0003676|GO:0006139|GO:0008408,AT5G35910,"Polynucleotidyl	""transferase,""	ribonuclease	H	fold	protein	with	HRDC	domain-containing	protein	","833577	"
CAH2079524.1,TAV2_LOCUS22719,-,WD40/YVTN repeat-like-containing domain superfamily,GO:0005515,AT5G35930,"AMP-dependent	synthetase	and	ligase	family	protein	","833582	"
CAH2079525.1,TAV2_LOCUS22716,Protein tyrosine and serine/threonine kinase,"Serine-threonine/tyrosine-protein kinase, catalytic domain",GO:0004672|GO:0006468,AT5G35960,"Protein	kinase	family	protein	","833587	"
CAH2079528.1,TAV2_LOCUS24122,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT5G35980,"YAK1-like	protein	1	","833590	"
CAH2079532.1,TAV2_LOCUS24117,"YLMG HOMOLOG PROTEIN 2, CHLOROPLASTIC",CCB3/YggT,GO:0016020,AT5G36120,"cofactor	""assembly,""	complex	C	(B6F)	","833608	"
CAH2079536.1,TAV2_LOCUS25530,PCRF domain,Peptide chain release factor,GO:0006415,AT5G36170,"high	chlorophyll	fluorescent	109	","833614	"
CAH2079543.1,TAV2_LOCUS25537,Protein phosphatase 2C,PPM-type phosphatase-like domain,-,AT5G36250,"Protein	phosphatase	2C	family	protein	","833622	"
CAH2079547.1,TAV2_LOCUS25085,Uncharacterized protein family UPF0016,Gdt1 family,-,AT5G36290,"Uncharacterized	protein	family	(UPF0016)	","833627	"
CAH2079564.1,TAV2_LOCUS24613,TLR4 regulator and MIR-interacting MSAP,Domain of unknown function DUF3456,-,AT1G42480,"TLR4	regulator/MIR-interacting	MSAP	protein	","840852	"
CAH2079568.1,TAV2_LOCUS23864,AMP-binding enzyme C-terminal domain,"AMP-binding enzyme, C-terminal domain",-,AT5G36880,"acetyl-CoA	synthetase	","833655	"
CAH2079569.1,TAV2_LOCUS23863,GLYCOSYL HYDROLASE,Glycoside hydrolase family 1,GO:0004553|GO:0005975,AT5G36890,"beta	glucosidase	42	","833656	"
CAH2079572.1,TAV2_LOCUS24202,consensus disorder prediction,-,0,AT3G20490,"Rho	GTPase-activating	protein	","821595	"
CAH2079577.1,TAV2_LOCUS23861,Late embryogenesis abundant protein,"Late embryogenesis abundant protein, LEA_2 subgroup",-,AT5G36970,"NDR1/HIN1-like	25	","833667	"
CAH2079579.1,TAV2_LOCUS22819,EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED,Exostosin-like,GO:0006486|GO:0016757,AT5G37000,"glycosyltransferase	family	exostosin	protein	","833670	"
CAH2079583.1,TAV2_LOCUS24666,"myb_SHAQKYF: myb-like DNA-binding domain, SHAQKYF class","Myb domain, plants",GO:0003677,AT5G37260,"Homeodomain-like	superfamily	protein	","833700	"
CAH2079585.1,TAV2_LOCUS23764,Glycosyl transferases group 1,"Glycosyl transferase, family 1",GO:0016757,AT5G37180,"sucrose	synthase	5	","833692	"
CAH2079592.1,TAV2_LOCUS23324,OS02G0734667 PROTEIN,Uncharacterized protein At1g65710-like,-,AT5G37010,"rho	GTPase-activating	protein	","833671	"
CAH2079594.1,TAV2_LOCUS25464,DnaJ,DnaJ domain,-,AT5G37380,"Chaperone	DnaJ-domain	superfamily	protein	","833712	"
CAH2079595.1,TAV2_LOCUS25463,Pre-mRNA-splicing factor 38-associated hydrophilic C-term,"Pre-mRNA-splicing factor 38, C-terminal",-,AT5G37370,"PRP38	family	protein	","833711	"
CAH2079596.1,TAV2_LOCUS23319,Protein of unknown function (DUF3082),Protein of unknown function DUF3082,-,AT5G37360,"LOW	protein:	ammonium	transporter	1-like	protein	","833710	"
CAH2079597.1,TAV2_LOCUS23320,consensus disorder prediction,-,0,AT5G40520,"DNA	double-strand	break	repair	protein	","834050	"
CAH2079604.1,TAV2_LOCUS25215,O-ACYLTRANSFERASE (WSD1-LIKE) FAMILY PROTEIN,O-acyltransferase WSD1-like,GO:0008374|GO:0045017,AT5G37300,"O-acyltransferase	(WSD1-like)	family	protein	","833704	"
CAH2079605.1,TAV2_LOCUS23893,B3_DNA,B3 DNA binding domain,GO:0003677,AT5G32460,"Transcriptional	factor	B3	family	protein	","3771028	"
CAH2079607.1,TAV2_LOCUS23887,consensus disorder prediction,-,0,AT4G39630,"translation	initiation	factor	","830117	"
CAH2079609.1,TAV2_LOCUS23885,TARGETING PROTEIN FOR XKLP2,TPX2,GO:0005819|GO:0005874|GO:0032147|GO:0060236,AT5G37478,"TPX2	(targeting	protein	for	Xklp2)	protein	family	","2746163	"
CAH2079611.1,TAV2_LOCUS23891,"MALTASE-GLUCOAMYLASE, INTESTINAL PROTEIN",-,0,AT5G37480,"maltase-glucoamylase,""	intestinal	protein	","833726	"
CAH2079612.1,TAV2_LOCUS23892,Diacylglycerol acyltransferase,Diacylglycerol acyltransferase,GO:0008374,AT1G54570,"Esterase/lipase/thioesterase	family	protein	","841899	"
CAH2079615.1,TAV2_LOCUS24267,ANK_2a,Ankyrin repeat,GO:0005515,AT5G37500,"gated	outwardly-rectifying	K+	channel	","833728	"
CAH2079617.1,TAV2_LOCUS24271,Activating enzymes of the ubiquitin-like proteins,Ubiquitin-activating enzyme,GO:0008641,AT5G37530,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","833731	"
CAH2079622.1,TAV2_LOCUS24273,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G37570,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","833735	"
CAH2079624.1,TAV2_LOCUS24272,TPR-like,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G37590,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","833737	"
CAH2079627.1,TAV2_LOCUS22889,CONDENSIN COMPLEX SUBUNIT 3-RELATED,Condensin complex subunit 3,GO:0000796|GO:0007076,AT5G37630,"ARM	repeat	superfamily	protein	","833741	"
CAH2079642.1,TAV2_LOCUS25613,-,Gnk2-homologous domain superfamily,-,AT5G37660,"plasmodesmata-located	protein	7	","833744	"
CAH2079648.1,TAV2_LOCUS25608,small_GTP: small GTP-binding protein domain,Small GTP-binding protein domain,GO:0005525,AT5G37680,"ADP-ribosylation	factor-like	A1A	","833747	"
CAH2079658.1,TAV2_LOCUS26005,BNAC05G50380D PROTEIN,Uncharacterized protein At4g22758-like,-,AT5G37730,"uncharacterized	protein	","833751	"
CAH2079659.1,TAV2_LOCUS26004,"C2 domain (Calcium/lipid-binding domain, CaLB)",C2 domain superfamily,-,AT5G37740,"Calcium-dependent	lipid-binding	(CaLB	domain)	family	protein	","833752	"
CAH2079662.1,TAV2_LOCUS26001,EF-hand domain pair,EF-hand domain,GO:0005509,AT5G37770,"EF	hand	calcium-binding	protein	family	","833755	"
CAH2079676.1,TAV2_LOCUS25092,Hydantoinase/oxoprolinase,Hydantoinase A/oxoprolinase,GO:0016787,AT5G37830,"oxoprolinase	1	","833761	"
CAH2079677.1,TAV2_LOCUS25091,PADRE domain,PADRE domain,-,AT5G37840,"plastid	movement	impaired	protein	","833762	"
CAH2079680.1,TAV2_LOCUS25096,MATE_eukaryotic,"Multidrug and toxic compound extrusion family, eukaryotic",GO:0042910|GO:1990961,AT1G73700,"MATE	efflux	family	protein	","843705	"
CAH2079682.1,TAV2_LOCUS23428,pyridoxal_pyridoxamine_kinase,Pyridoxine kinase,GO:0008478|GO:0009443,AT5G37850,"pfkB-like	carbohydrate	kinase	family	protein	","833763	"
CAH2079683.1,TAV2_LOCUS23722,"HMA, heavy metal-associated domain",Heavy metal-associated domain superfamily,GO:0046872,AT5G37860,"Heavy	metal	transport/detoxification	superfamily	protein	","833764	"
CAH2079684.1,TAV2_LOCUS23723,Acetyltransferase (GNAT) family,GNAT domain,GO:0016407,AT2G06025,"Acyl-CoA	N-acyltransferases	(NAT)	superfamily	protein	","815157	"
CAH2079694.1,TAV2_LOCUS22960,ringv_2,"Zinc finger, RING-CH-type",GO:0008270,AT5G38070,"RING/FYVE/PHD	zinc	finger	superfamily	protein	","833787	"
CAH2079696.1,TAV2_LOCUS25310,ANTI-SILENCING PROTEIN 1,Histone chaperone ASF1-like,GO:0005634|GO:0006325,AT5G38110,"anti-	silencing	function	1b	","833791	"
CAH2079698.1,TAV2_LOCUS24712,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT4G21326,"subtilase	3.12	","827882	"
CAH2079701.1,TAV2_LOCUS25934,"Histone, subunit A",Histone-fold,GO:0046982,AT5G38140,"nuclear	factor	""Y,""	subunit	C12	","833794	"
CAH2079721.1,TAV2_LOCUS22759,Peptidyl-tRNA hydrolase,Peptidyl-tRNA hydrolase,GO:0004045,AT5G38290,"Peptidyl-tRNA	hydrolase	family	protein	","833811	"
CAH2079722.1,TAV2_LOCUS22742,consensus disorder prediction,-,0,AT5G38300,"homeobox	Hox-B3-like	protein	","833812	"
CAH2079729.1,TAV2_LOCUS23954,Multidrug resistance efflux transporter EmrE,-,0,AT5G38380,"zinc	transporter	","833821	"
CAH2079735.1,TAV2_LOCUS24098,"ALG6, ALG8 glycosyltransferase family","Glycosyl transferase, ALG6/ALG8",GO:0016758,AT5G38460,"ALG6,""	ALG8	glycosyltransferase	family	","833834	"
CAH2079739.1,TAV2_LOCUS25115,Rhomboid family,"Peptidase S54, rhomboid domain",GO:0004252|GO:0016021,AT5G38510,"Rhomboid-related	intramembrane	serine	protease	family	protein	","833839	"
CAH2079740.1,TAV2_LOCUS24107,alpha/beta hydrolase,Alpha/Beta hydrolase fold,-,AT5G38520,"alpha/beta-Hydrolases	superfamily	protein	","833840	"
CAH2079753.1,TAV2_LOCUS24493,PMEI_2,Pectinesterase inhibitor domain,GO:0004857,AT5G38610,"Plant	invertase/pectin	methylesterase	inhibitor	superfamily	protein	","833851	"
CAH2079765.1,TAV2_LOCUS25835,CYTOCHROME B561-RELATED,Cytochrome b561/Cytochrome b reductase 1-like,GO:0016491,AT5G38630,"cytochrome	B561-1	","833853	"
CAH2079777.1,TAV2_LOCUS25465,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G38730,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","833864	"
CAH2079778.1,TAV2_LOCUS25466,LATE EMBRYOGENESIS ABUNDANT PROTEIN (LEA) FAMILY PROTEIN,Stress-induced protein KIN1/KIN2,-,AT5G38760,"Late	embryogenesis	abundant	protein	(LEA)	family	protein	","833867	"
CAH2079780.1,TAV2_LOCUS25468,bZIP_plant_GBF1,"G-box binding factor 1-like, bZIP domain, plant",GO:0003700|GO:0006355,AT5G38800,"basic	leucine-zipper	43	","833871	"
CAH2079784.1,TAV2_LOCUS22629,SMAD/FHA domain,SMAD/FHA domain superfamily,GO:0005515,AT5G38840,"SMAD/FHA	domain-containing	protein	","833875	"
CAH2079787.1,TAV2_LOCUS23141,-,Helix-loop-helix DNA-binding domain superfamily,GO:0046983,AT5G38860,"BES1-interacting	Myc-like	protein	3	","833877	"
CAH2079788.1,TAV2_LOCUS25402,consensus disorder prediction,-,0,AT5G38865,"uncharacterized	protein	","28721232	"
CAH2079790.1,TAV2_LOCUS23243,Ring finger domain,"Zinc finger, RING-type",-,AT5G38895,"RING/U-box	superfamily	protein	","833881	"
CAH2079791.1,TAV2_LOCUS23242,DSBA-like thioredoxin domain,DSBA-like thioredoxin domain,GO:0016491,AT5G38900,"Thioredoxin	superfamily	protein	","833882	"
CAH2079832.1,TAV2_LOCUS23947,"PROTEIN CHLORORESPIRATORY REDUCTION 7, CHLOROPLASTIC",Protein CHLORORESPIRATORY REDUCTION 7,-,AT5G39210,"chlororespiratory	reduction	7	","833917	"
CAH2079833.1,TAV2_LOCUS23946,alpha/beta hydrolase,Alpha/Beta hydrolase fold,-,AT5G39220,"alpha/beta-Hydrolases	superfamily	protein	","833918	"
CAH2079835.1,TAV2_LOCUS24408,TRANSCRIPTION FACTOR IBH1-LIKE 1,Transcription factor IBH1-like,GO:0006355,AT5G39240,"transcription	factor	UPBEAT-like	protein	","833920	"
CAH2079836.1,TAV2_LOCUS24407,fbox_2,F-box domain,GO:0005515,AT5G39250,"F-box	family	protein	","833921	"
CAH2079846.1,TAV2_LOCUS23566,-,Histidine-containing phosphotransfer protein 1-5/Phosphorelay intermediate protein YPD1,GO:0000160|GO:0009927|GO:0043424,AT5G39340,"histidine-containing	phosphotransmitter	3	","833930	"
